playerId,playerName,club,teamName,selectionId,selectionTeam,category,status,sourceId
hk-nl-f-kampong-julie-roovers,Julie Roovers,Kampong,Kampong D1,jong_oranje_dames_training_2026,Jong Oranje Dames,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-f-rotterdam-brechtje-van-santbrink,Brechtje van Santbrink,Rotterdam,Rotterdam D1,jong_oranje_dames_training_2026,Jong Oranje Dames,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-f-pinoke-juul-sauer,Juul Sauer,Pinoké,Pinoké D1,jong_oranje_dames_training_2026,Jong Oranje Dames,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-f-pinoke-anouk-slotema,Anouk Slotema,Pinoké,Pinoké D1,jong_oranje_dames_training_2026,Jong Oranje Dames,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-f-amsterdam-imke-verstraeten,Imke Verstraeten,Amsterdam,Amsterdam D1,jong_oranje_dames_training_2026,Jong Oranje Dames,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-f-oranje-rood-pheline-vos,Pheline Vos,Oranje-Rood,Oranje-Rood D1,jong_oranje_dames_training_2026,Jong Oranje Dames,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-f-den-bosch-lieve-wijckmans,Lieve Wijckmans,Den Bosch,Den Bosch D1,jong_oranje_dames_training_2026,Jong Oranje Dames,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-f-kampong-fleur-wolfert,Fleur Wolfert,Kampong,Kampong D1,jong_oranje_dames_training_2026,Jong Oranje Dames,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-m-schaerweijde-teun-van-aalderen,Teun van Aalderen,Schaerweijde,Schaerweijde H1,jong_oranje_heren_training_2026,Jong Oranje Heren,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-m-kampong-thies-bakker,Thies Bakker,Kampong,Kampong H1,jong_oranje_heren_training_2026,Jong Oranje Heren,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-m-hdm-guus-van-den-boezem,Guus van den Boezem,HDM,HDM H1,jong_oranje_heren_training_2026,Jong Oranje Heren,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-m-laren-giovanni-brand,Giovanni Brand,Laren,Laren H1,jong_oranje_heren_training_2026,Jong Oranje Heren,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-m-amsterdam-lucas-corstens,Lucas Corstens,Amsterdam,Amsterdam H1,jong_oranje_heren_training_2026,Jong Oranje Heren,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-m-den-bosch-lucas-driessen,Lucas Driessen,Den Bosch,Den Bosch H1,jong_oranje_heren_training_2026,Jong Oranje Heren,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-m-pinoke-ralph-grevenstuk,Ralph Grevenstuk,Pinoké,Pinoké H1,jong_oranje_heren_training_2026,Jong Oranje Heren,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-m-rotterdam-timme-van-der-heijden,Timme van der Heijden,Rotterdam,Rotterdam H1,jong_oranje_heren_training_2026,Jong Oranje Heren,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-m-kampong-diederik-van-den-hoek,Diederik van den Hoek,Kampong,Kampong H1,jong_oranje_heren_training_2026,Jong Oranje Heren,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-m-bloemendaal-teun-hogenhout,Teun Hogenhout,Bloemendaal,Bloemendaal H1,jong_oranje_heren_training_2026,Jong Oranje Heren,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-m-oranje-rood-boaz-houben,Boaz Houben,Oranje-Rood,Oranje-Rood H1,jong_oranje_heren_training_2026,Jong Oranje Heren,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-m-klein-zwitserland-pepijn-jones,Pepijn Jones,Klein Zwitserland,Klein Zwitserland H1,jong_oranje_heren_training_2026,Jong Oranje Heren,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-m-pinoke-tim-knapper,Tim Knapper,Pinoké,Pinoké H1,jong_oranje_heren_training_2026,Jong Oranje Heren,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-m-pinoke-jimi-kummer,Jimi Kummer,Pinoké,Pinoké H1,jong_oranje_heren_training_2026,Jong Oranje Heren,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-m-bloemendaal-jan-van-t-land,Jan van 't Land,Bloemendaal,Bloemendaal H1,jong_oranje_heren_training_2026,Jong Oranje Heren,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-m-kampong-koen-meijerink,Koen Meijerink,Kampong,Kampong H1,jong_oranje_heren_training_2026,Jong Oranje Heren,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-m-schaerweijde-derk-moret,Derk Moret,Schaerweijde,Schaerweijde H1,jong_oranje_heren_training_2026,Jong Oranje Heren,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-m-amsterdam-olivier-paalman,Olivier Paalman,Amsterdam,Amsterdam H1,jong_oranje_heren_training_2026,Jong Oranje Heren,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-m-hdm-siebe-pijpers,Siebe Pijpers,HDM,HDM H1,jong_oranje_heren_training_2026,Jong Oranje Heren,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-m-hdm-tom-provily,Tom Provily,HDM,HDM H1,jong_oranje_heren_training_2026,Jong Oranje Heren,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-m-kampong-sander-van-de-putte,Sander van de Putte,Kampong,Kampong H1,jong_oranje_heren_training_2026,Jong Oranje Heren,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-m-laren-balder-reyenga,Balder Reyenga,Laren,Laren H1,jong_oranje_heren_training_2026,Jong Oranje Heren,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-m-oranje-rood-sem-de-roij,Sem de Roij,Oranje-Rood,Oranje-Rood H1,jong_oranje_heren_training_2026,Jong Oranje Heren,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-m-pinoke-iwan-roukema,Iwan Roukema,Pinoké,Pinoké H1,jong_oranje_heren_training_2026,Jong Oranje Heren,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-m-pinoke-gijs-somers,Gijs Somers,Pinoké,Pinoké H1,jong_oranje_heren_training_2026,Jong Oranje Heren,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-m-hdm-fenn-tellier,Fenn Tellier,HDM,HDM H1,jong_oranje_heren_training_2026,Jong Oranje Heren,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-m-amsterdam-joost-tolboom,Joost Tolboom,Amsterdam,Amsterdam H1,jong_oranje_heren_training_2026,Jong Oranje Heren,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-m-pinoke-pepijn-van-der-valk,Pepijn van der Valk,Pinoké,Pinoké H1,jong_oranje_heren_training_2026,Jong Oranje Heren,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
